6,14,0.0
6,13,0.0
6,12,0.0
6,11,0.0
6,10,0.0
6,9,0.0
6,8,0.0
6,7,0.0
6,6,3935.29125
6,5,0.0
6,4,0.0
6,3,0.0
6,2,0.0
6,1,0.0
7,29,0.0
7,28,51.22578125
7,27,0.0
7,26,51.1665234375
7,25,0.0
7,24,0.0
7,23,0.0
7,22,986.449453125
7,21,25.32801513671875
7,20,0.0
7,19,0.0
7,18,0.0
7,17,0.0
7,16,0.0
7,15,205.3732421875
7,14,0.0
7,13,0.0
7,12,0.0
7,11,0.0
7,10,0.0
7,9,0.0
7,8,0.0
7,7,51.5459521484375
7,6,0.0
7,5,0.0
7,4,0.0
7,3,0.0
7,2,0.0
7,1,0.0
8,29,0.0
8,28,3460.756875
8,27,0.0
8,26,28.2658642578125
8,25,0.0
8,24,106.411357421875
8,23,0.0
8,22,0.0
8,21,275.23083984375
8,20,0.0
8,19,50.43611328125
8,18,0.0
8,17,0.0
8,16,0.0
8,15,672.980078125
8,14,0.0
8,13,0.0
8,12,0.0
8,11,0.0
8,10,0.0
8,9,0.0
8,8,0.0
8,7,371.2789453125
8,6,0.0
8,5,83.268330078125
8,4,26.747265625
8,3,56.351767578125
8,2,0.0
8,1,0.0
9,29,0.0
9,28,224.321328125
9,27,0.0
9,26,0.0
9,25,0.0
9,24,27.47770751953125
9,23,0.0
9,22,0.0
9,21,0.0
9,20,247.82744140625
9,19,27.48968994140625
9,18,0.0
9,17,0.0
9,16,0.0
9,15,0.0
9,14,0.0
9,13,0.0
9,12,0.0
9,11,0.0
9,10,0.0
9,9,0.0
9,8,0.0
9,7,0.0
9,6,0.0
9,5,0.0
9,4,0.0
9,3,0.0
9,2,0.0
9,1,0.0
10,29,0.0
10,28,216.640234375
10,27,0.0
10,26,0.0
10,25,25.93397216796875
10,24,69.4762109375
10,23,0.0
10,22,24.5932177734375
10,21,49.550859375
10,20,0.0
10,19,74.49693359375
10,18,0.0
10,17,0.0
10,16,0.0
10,15,145.14376953125
10,14,0.0
10,13,0.0
10,12,0.0
10,11,0.0
10,10,0.0
10,9,0.0
10,8,0.0
10,7,143.5821484375
10,6,0.0
10,5,24.5932177734375
10,4,198.699609375
10,3,24.73719970703125
10,2,0.0
10,1,0.0
11,29,0.0
11,28,0.0
11,27,0.0
11,26,0.0
11,25,0.0
11,24,0.0
11,23,0.0
11,22,0.0
11,21,0.0
11,20,0.0
11,19,0.0
11,18,0.0
11,17,0.0
11,16,0.0
11,15,0.0
11,14,0.0
11,13,0.0
11,12,0.0
11,11,0.0
11,10,0.0
11,9,0.0
11,8,0.0
11,7,0.0
11,6,0.0
11,5,0.0
11,4,0.0
11,3,0.0
11,2,0.0
11,1,0.0
12,29,0.0
12,28,84.635888671875
12,27,0.0
12,26,0.0
12,25,0.0
12,24,0.0
12,23,0.0
12,22,0.0
12,21,0.0
12,20,0.0
12,19,0.0
12,18,0.0
12,17,29.14260009765625
12,16,0.0
12,15,0.0
12,14,0.0
12,13,0.0
12,12,0.0
12,11,0.0
