15,9,0.0
15,8,0.0
15,7,0.0
15,6,0.0
15,5,1.4583715257066803
15,4,0.0
15,3,0.0
15,2,0.0
15,1,0.0
16,30,0.0
16,29,0.020854451486252413
16,28,0.0
16,27,0.0
16,26,0.0
16,25,0.09039160119259551
16,24,0.0
16,23,0.0
16,22,0.0
16,21,0.0
16,20,0.0
16,19,0.0
16,18,0.0
16,17,0.0
16,16,0.0
16,15,0.0
16,14,0.0
16,13,29.361477874549426
16,12,0.0
16,11,0.0
16,10,0.0
16,9,0.0
16,8,0.0
16,7,0.0
16,6,0.041848877055994715
16,5,0.0
16,4,0.0
16,3,0.0
16,2,0.0
16,1,0.0
17,30,0.0
17,29,0.038212643766291236
17,28,0.0
17,27,0.0
17,26,0.0
17,25,0.09749157367347792
17,24,0.0
17,23,0.0
17,22,0.0
17,21,0.0
17,20,0.0
17,19,0.0
17,18,0.0
17,17,0.0
17,16,0.0
17,15,0.0
17,14,0.0
17,13,0.0
17,12,78.3931074460119
17,11,0.0
17,10,0.0
17,9,0.0
17,8,0.0
17,7,0.0
17,6,0.0
17,5,0.0
17,4,0.0
17,3,0.0
17,2,0.0
17,1,0.0
18,30,0.0
18,29,0.16535838344781528
18,28,0.0
18,27,0.0
18,26,0.0
18,25,0.0
18,24,0.0
18,23,0.0
18,22,0.0
18,21,0.0
18,20,0.0
18,19,0.0
18,18,0.0
18,17,0.0
18,16,0.0
18,15,0.35324755470841523
18,14,0.0
18,13,0.0
18,12,0.0
18,11,5.913241351145331
18,10,0.0
18,9,0.0
18,8,0.0
18,7,0.0
18,6,3.2972149193077005
18,5,0.0
18,4,0.0
18,3,0.0
18,2,0.0
18,1,0.0
19,30,0.0
19,29,0.06264599115358216
19,28,0.0
19,27,0.0
19,26,0.0
19,25,0.0
19,24,0.0
19,23,0.0
19,22,0.0
19,21,0.14562276287629075
19,20,0.0
19,19,0.0
19,18,0.0
19,17,0.0
19,16,0.0
19,15,0.0
19,14,0.0
19,13,0.0
19,12,0.0
19,11,0.0
19,10,1.9007382258109204
19,9,0.0
19,8,0.0
19,7,0.0
19,6,0.0
19,5,0.0
19,4,3.7643981309923547
19,3,0.0
19,2,0.0
19,1,0.0
20,30,0.0
20,29,0.044437677241342705
20,28,0.0
20,27,0.0
20,26,0.0
20,25,0.0
20,24,0.0
20,23,0.0
20,22,1.5922956951191818
20,21,0.0
20,20,0.0
20,19,0.0
20,18,0.0
20,17,0.0
20,16,0.0
20,15,0.0
20,14,0.0
20,13,0.0
20,12,0.0
20,11,0.0
20,10,0.0
20,9,6.6887143736503285
20,8,0.0
20,7,0.0
20,6,0.0
20,5,0.0
20,4,0.0
20,3,0.0
20,2,0.0
20,1,0.0
21,30,0.0
21,29,0.0
21,28,0.0
21,27,0.0
21,26,0.0
21,25,0.0
21,24,0.0
21,23,0.0
21,22,0.0
21,21,0.0
21,20,0.0
21,19,0.0
